district,block,panchayat,village
Ranchi,Ranchi,Ranchi Gram Panchayat,Ranchi Tola
Ranchi,Ranchi,Ranchi Gram Panchayat,Kanke Basti
Ranchi,Ranchi,Ranchi Adarsh Gram,Doranda Nagar
Ranchi,Kanke,Kanke Panchayat Samiti,Kanke Kalan
Ranchi,Kanke,Kanke Panchayat Samiti,Kanke Khurd
Ranchi,Bundu,Bundu Gram Panchayat,Bundi Tola
Ranchi,Bundu,Bundu Adarsh Gram,Bundi Basti
Ranchi,Namkum,Namkum Gram Panchayat,Namkum Nagar
Ranchi,Namkum,Namkum Vikas Panchayat,Namkum Pur
Dhanbad,Dhanbad,Dhanbad Gram Panchayat,Dhanbad Tola
Dhanbad,Dhanbad,Dhanbad Panchayat Samiti,Dhanbad Basti
Dhanbad,Baghmara,Baghmara Gram Panchayat,Baghmara Kalan
Dhanbad,Baghmara,Baghmara Adarsh Gram,Baghmara Khurd
Dhanbad,Topchanchi,Topchanchi Gram Panchayat,Topchanchi Nagar
Giridih,Giridih,Giridih Gram Panchayat,Giridih Tola
Giridih,Giridih,Giridih Adarsh Gram,Giridih Basti
Giridih,Bagodar,Bagodar Gram Panchayat,Bagodar Kalan
Giridih,Dhanwar,Dhanwar Panchayat Samiti,Dhanwar Pur
Hazaribagh,Hazaribagh,Hazaribagh Gram Panchayat,Hazaribagh Tola
Hazaribagh,Hazaribagh,Hazaribagh Panchayat Samiti,Hazaribagh Basti
Hazaribagh,Barhi,Barhi Gram Panchayat,Barhi Nagar
Hazaribagh,Barhi,Barhi Adarsh Gram,Barhi Khurd
Bokaro,Chas,Chas Gram Panchayat,Chas Tola
Bokaro,Chas,Chas Panchayat Samiti,Chas Basti
Bokaro,Bermo,Bermo Gram Panchayat,Bermo Kalan
Bokaro,Gomia,Gomia Adarsh Gram,Gomia Pur
East Singhbhum,Ghatshila,Ghatshila Gram Panchayat,Ghatshila Tola
East Singhbhum,Ghatshila,Ghatshila Adarsh Gram,Ghatshila Basti
East Singhbhum,Potka,Potka Gram Panchayat,Potka Nagar
Chaibasa,Chaibasa,Chaibasa Gram Panchayat,Chaibasa Tola
Chaibasa,Chaibasa,Chaibasa Adarsh Gram,Chaibasa Basti
Chaibasa,Chakradharpur,Chakradharpur Gram Panchayat,Chakradharpur Kalan
